customer_id,nps_real,nps_previsto,score_risco_insatisfacao,classificacao_prevista,prioridade_acao,sugestao_acao
596,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1584,1.4,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1511,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
466,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1423,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1437,0.2,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
665,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1644,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
767,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
462,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
955,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
849,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1318,1.2,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
371,0.7,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
773,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1944,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
2356,0.7,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
329,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1861,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1558,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1763,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
2138,0.9,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1046,0.0,0.0,1.0,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1598,0.0,0.0,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
2224,2.3,0.6,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
745,0.0,0.1,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1635,0.0,0.3,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
542,1.7,0.3,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
57,0.4,0.3,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
2051,0.0,0.0,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
2216,1.3,0.4,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
401,0.0,0.5,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
380,0.0,0.0,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
846,2.1,0.3,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1970,0.0,0.1,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1909,0.0,0.2,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1841,0.0,0.3,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1805,0.0,0.0,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1776,0.0,0.3,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1811,0.0,0.0,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1826,0.0,0.0,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
957,0.0,0.3,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
969,0.5,0.0,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
1916,0.7,0.5,0.999,Insatisfeito,ALTA,Contato proativo imediato + cupom de desconto + priorizar resolução de pendências
